,UID,VRTN_ID,CANDIDATE_EPID,Aspect,value,score,original_score,logit,ITEM_SENTENCE,score_difference,Item,Candidate product
10,116015000000,,24052684303,style_code,['DH6931001'],0.98,0.37,0.98,[TITLE_TXT] Nike Air Jordan 1 Low Diamond Shorts - Men’s 10.5 US (New/Deadstock) [brand] Nike [style_code] DH6931001 [color] Black [department] Men [model] Nike Air Jordan 1 [nickname] Low [performance/activity] Basketball [product_line] Nike Jordan 1 Low [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top,0.616,https://matchingdashboard.vip.ebay.com/?itemId=116015000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=24052684303
11,116015000000,,24052684303,manufacturer_color,['Black/White'],0.42,0.37,0.03,[TITLE_TXT] Nike Air Jordan 1 Low Diamond Shorts - Men’s 10.5 US (New/Deadstock) [brand] Nike [color] Black [manufacturer_color] Black/White [department] Men [model] Nike Air Jordan 1 [nickname] Low [performance/activity] Basketball [product_line] Nike Jordan 1 Low [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top,0.054,https://matchingdashboard.vip.ebay.com/?itemId=116015000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=24052684303
12,116015000000,,24052684303,release_year,['2022'],0.47,0.37,0.06,[TITLE_TXT] Nike Air Jordan 1 Low Diamond Shorts - Men’s 10.5 US (New/Deadstock) [brand] Nike [color] Black [department] Men [model] Nike Air Jordan 1 [nickname] Low [performance/activity] Basketball [product_line] Nike Jordan 1 Low [release_year] 2022 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top,0.105,https://matchingdashboard.vip.ebay.com/?itemId=116015000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=24052684303
13,116030000000,,23053404657,style_code,['537133-60-8266'],0.84,0.26,0.97,[TITLE_TXT] Gucci Flashtrek Sneakers Fabric and Leather with Crystals [brand] Gucci [style_code] 537133-60-8266 [collaboration] Gucci [color] Multicolor [department] Women [model] Gucci Flashtrek [nickname] Crystal [type] Athletic [leaf_categ_id] 95672 [upper_material] Crystal [insole_material] Leather [outsole_material] Leather,0.582,https://matchingdashboard.vip.ebay.com/?itemId=116030000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=23053404657
14,116030000000,,23053404657,manufacturer_color,['Multi-Color'],0.46,0.26,0.58,[TITLE_TXT] Gucci Flashtrek Sneakers Fabric and Leather with Crystals [brand] Gucci [collaboration] Gucci [color] Multicolor [manufacturer_color] Multi-Color [department] Women [model] Gucci Flashtrek [nickname] Crystal [type] Athletic [leaf_categ_id] 95672 [upper_material] Crystal [insole_material] Leather [outsole_material] Leather,0.198,https://matchingdashboard.vip.ebay.com/?itemId=116030000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=23053404657
15,116030000000,,23053404657,product_line,['Gucci Flashtrek'],0.34,0.26,0.44,[TITLE_TXT] Gucci Flashtrek Sneakers Fabric and Leather with Crystals [brand] Gucci [collaboration] Gucci [color] Multicolor [department] Women [model] Gucci Flashtrek [nickname] Crystal [product_line] Gucci Flashtrek [type] Athletic [leaf_categ_id] 95672 [upper_material] Crystal [insole_material] Leather [outsole_material] Leather,0.078,https://matchingdashboard.vip.ebay.com/?itemId=116030000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=23053404657
16,116030000000,,23053404657,style,['Sneaker'],0.27,0.26,0.34,[TITLE_TXT] Gucci Flashtrek Sneakers Fabric and Leather with Crystals [brand] Gucci [collaboration] Gucci [color] Multicolor [department] Women [model] Gucci Flashtrek [nickname] Crystal [style] Sneaker [type] Athletic [leaf_categ_id] 95672 [upper_material] Crystal [insole_material] Leather [outsole_material] Leather,0.014,https://matchingdashboard.vip.ebay.com/?itemId=116030000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=23053404657
17,116042141334,416203372269,23065831895,style_code,['B37986'],0.98,0.18,0.98,[TITLE_TXT] Man's Sneakers & Athletic Shoes adidas Originals Superstar Core Black/Cloud White/Cream White 13 D - Medium [brand] adidas [style_code] B37986 [color] Black/Cloud White/Ivory White [department] Men [model] adidas Originals Superstar [product_line] adidas Original [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,0.804,https://matchingdashboard.vip.ebay.com/?itemId=116042141334&var=416203372269,https://matchingdashboard.vip.ebay.com/getProduct?epid=23065831895
18,116042141334,416203372269,23065831895,manufacturer_color,['Core Black/Cloud White'],0.15,0.18,0.02,[TITLE_TXT] Man's Sneakers & Athletic Shoes adidas Originals Superstar Core Black/Cloud White/Cream White 13 D - Medium [brand] adidas [color] Black/Cloud White/Ivory White [manufacturer_color] Core Black/Cloud White [department] Men [model] adidas Originals Superstar [product_line] adidas Original [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,-0.033,https://matchingdashboard.vip.ebay.com/?itemId=116042141334&var=416203372269,https://matchingdashboard.vip.ebay.com/getProduct?epid=23065831895
19,116042141334,416203372269,23065831895,style,['Sneaker'],0.17,0.18,0.05,[TITLE_TXT] Man's Sneakers & Athletic Shoes adidas Originals Superstar Core Black/Cloud White/Cream White 13 D - Medium [brand] adidas [color] Black/Cloud White/Ivory White [department] Men [model] adidas Originals Superstar [product_line] adidas Original [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,-0.013,https://matchingdashboard.vip.ebay.com/?itemId=116042141334&var=416203372269,https://matchingdashboard.vip.ebay.com/getProduct?epid=23065831895
20,116043000000,,27053387339,style_code,['525760-019'],0.82,0.3,0.59,[TITLE_TXT] Nike Dual Racer Mens Size 9 Grey White Running Shoes EUC [brand] Nike [style_code] 525760-019 [color] Gray [department] Men [model] Nike Dual Racer [nickname] Grey White [product_line] Nike Dual [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.518,https://matchingdashboard.vip.ebay.com/?itemId=116043000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=27053387339
21,116043000000,,27053387339,manufacturer_color,['Gray'],0.34,0.3,0.07,[TITLE_TXT] Nike Dual Racer Mens Size 9 Grey White Running Shoes EUC [brand] Nike [color] Gray [manufacturer_color] Gray [department] Men [model] Nike Dual Racer [nickname] Grey White [product_line] Nike Dual [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.039,https://matchingdashboard.vip.ebay.com/?itemId=116043000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=27053387339
22,116043000000,,27053387339,shoe_shaft_style,['Low Top'],0.33,0.3,0.06,[TITLE_TXT] Nike Dual Racer Mens Size 9 Grey White Running Shoes EUC [brand] Nike [color] Gray [department] Men [model] Nike Dual Racer [nickname] Grey White [product_line] Nike Dual [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top,0.024,https://matchingdashboard.vip.ebay.com/?itemId=116043000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=27053387339
23,116107000000,,17057570436,style_code,['M1540NV2'],0.96,0.13,0.93,[TITLE_TXT] New Balance 1540 White/Gray/Navy Men’s 10 Trainers Sneakers Athletic Shoe Casual [brand] New Balance [style_code] M1540NV2 [color] White [department] Men [model] New Balance 1540 [product_line] NB 1540 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [occasion] Casual,0.833,https://matchingdashboard.vip.ebay.com/?itemId=116107000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=17057570436
24,116107000000,,17057570436,manufacturer_color,['Navy'],0.1,0.13,0,[TITLE_TXT] New Balance 1540 White/Gray/Navy Men’s 10 Trainers Sneakers Athletic Shoe Casual [brand] New Balance [color] White [manufacturer_color] Navy [department] Men [model] New Balance 1540 [product_line] NB 1540 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [occasion] Casual,-0.029,https://matchingdashboard.vip.ebay.com/?itemId=116107000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=17057570436
25,116107000000,,17057570436,release_year,['2021'],0.12,0.13,0.01,[TITLE_TXT] New Balance 1540 White/Gray/Navy Men’s 10 Trainers Sneakers Athletic Shoe Casual [brand] New Balance [color] White [department] Men [model] New Balance 1540 [product_line] NB 1540 [release_year] 2021 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [occasion] Casual,-0.014,https://matchingdashboard.vip.ebay.com/?itemId=116107000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=17057570436
26,116107000000,,17057570436,shoe_shaft_style,['Low Top'],0.13,0.13,0,[TITLE_TXT] New Balance 1540 White/Gray/Navy Men’s 10 Trainers Sneakers Athletic Shoe Casual [brand] New Balance [color] White [department] Men [model] New Balance 1540 [product_line] NB 1540 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top [occasion] Casual,-0.005,https://matchingdashboard.vip.ebay.com/?itemId=116107000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=17057570436
27,116173000000,,25064764016,style_code,['VN0A4BVSDOL'],0.96,0.11,0.98,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [style_code] VN0A4BVSDOL [color] Multicolor [department] Men [model] VANS UltraRange [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.853,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
28,116173000000,,25064764016,manufacturer_color,['Dark Olive'],0.65,0.11,0.52,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [color] Multicolor [manufacturer_color] Dark Olive [department] Men [model] VANS UltraRange [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.54,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
29,116173000000,,25064764016,nickname,['Dark Olive'],0.65,0.11,0.53,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [color] Multicolor [department] Men [model] VANS UltraRange [nickname] Dark Olive [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.541,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
30,116173000000,,25064764016,product_line,['VANS Ultrarange'],0.09,0.11,0.07,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [color] Multicolor [department] Men [model] VANS UltraRange [product_line] VANS Ultrarange [style] Sneaker [type] Athletic [leaf_categ_id] 15709,-0.02,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
31,116173000000,,25064764016,shoe_shaft_style,['High Top'],0.12,0.11,0.11,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [color] Multicolor [department] Men [model] VANS UltraRange [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] High Top,0.007,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
32,116173000000,,25064764016,upper_material,['Suede'],0.12,0.11,0.1,[TITLE_TXT] NEW Vans Ultrarange Exo Hi MTE 2 Shoes Size 7.5 Men’s [brand] VANS [color] Multicolor [department] Men [model] VANS UltraRange [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [upper_material] Suede,0.016,https://matchingdashboard.vip.ebay.com/?itemId=116173000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=25064764016
33,116180000000,,18053395779,manufacturer_color,['White/Noble Red/Black/Metallic Gold'],0.85,0.66,0.65,[TITLE_TXT] Nike Air Max 90 CNY Size 8 Tokyo Olympics CU3005-171 [brand] Nike [style_code] CU3005-171 [color] Multicolor [manufacturer_color] White/Noble Red/Black/Metallic Gold [department] Men [model] Nike Air Max 90 [nickname] Tokyo Olympics [product_line] Nike Air Max [style] Sneaker [type] Athletic [year_manufactured] 2020 [leaf_categ_id] 15709,0.186,https://matchingdashboard.vip.ebay.com/?itemId=116180000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=18053395779
34,116181000000,,6063477713,manufacturer_color,['Black/Yellow Ochre/White'],0.68,0.6,0.29,"[TITLE_TXT] Nike Air Jordan 1 Low “Yellow Ochre”▪️Size 11▪️Black/White/Yellow▪️553558-161 [brand] Nike [style_code] 553558-161 [color] Multicolor [manufacturer_color] Black/Yellow Ochre/White [department] Men [model] Air Jordan 1 [nickname] Low [performance/activity] School, Cross Training, Lifestyle, CrossFit, Basketball, Running & Jogging, Walking [product_line] Nike Air Jordan [release_year] 2023 [silhouette] Jordan 1 Low White Multi-Color [style] Sneaker [type] Athletic [year_manufactured] 2023 [leaf_categ_id] 15709 [closure] Lace Up [country/region_of_manufacture] Vietnam [shoe_shaft_style] Low Top [shoe_width] Standard [theme] Sports, Outdoor, Colorful [upper_material] Leather [pattern] Solid [insole_material] Foam [occasion] Casual, Activewear [outsole_material] Rubber [customized] No",0.073,https://matchingdashboard.vip.ebay.com/?itemId=116181000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=6063477713
35,116230795102,416452788007,20068901812,style_code,['Ig9274'],0.97,0.24,0.95,[TITLE_TXT] Man's Shoes adidas F50 League Messi Football Boots Firm Ground Gold Metallic/White/Black 4 D - Medium [brand] adidas [style_code] Ig9274 [color] Gold Gray/White/Black [department] Men [model] adidas Messi [performance/activity] Football [product_line] F50 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,0.727,https://matchingdashboard.vip.ebay.com/?itemId=116230795102&var=416452788007,https://matchingdashboard.vip.ebay.com/getProduct?epid=20068901812
36,116230795102,416452788007,20068901812,manufacturer_color,['Gold Metallic/Cloud White/Core Black'],0.26,0.24,0.06,[TITLE_TXT] Man's Shoes adidas F50 League Messi Football Boots Firm Ground Gold Metallic/White/Black 4 D - Medium [brand] adidas [color] Gold Gray/White/Black [manufacturer_color] Gold Metallic/Cloud White/Core Black [department] Men [model] adidas Messi [performance/activity] Football [product_line] F50 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,0.017,https://matchingdashboard.vip.ebay.com/?itemId=116230795102&var=416452788007,https://matchingdashboard.vip.ebay.com/getProduct?epid=20068901812
37,116230795102,416452788007,20068901812,nickname,['Triunfo Dorado'],0.31,0.24,0.2,[TITLE_TXT] Man's Shoes adidas F50 League Messi Football Boots Firm Ground Gold Metallic/White/Black 4 D - Medium [brand] adidas [color] Gold Gray/White/Black [department] Men [model] adidas Messi [nickname] Triunfo Dorado [performance/activity] Football [product_line] F50 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M,0.07,https://matchingdashboard.vip.ebay.com/?itemId=116230795102&var=416452788007,https://matchingdashboard.vip.ebay.com/getProduct?epid=20068901812
38,116230795102,416452788007,20068901812,upper_material,['Hybridtouch'],0.27,0.24,0.06,[TITLE_TXT] Man's Shoes adidas F50 League Messi Football Boots Firm Ground Gold Metallic/White/Black 4 D - Medium [brand] adidas [color] Gold Gray/White/Black [department] Men [model] adidas Messi [performance/activity] Football [product_line] F50 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_width] D-M [upper_material] Hybridtouch,0.024,https://matchingdashboard.vip.ebay.com/?itemId=116230795102&var=416452788007,https://matchingdashboard.vip.ebay.com/getProduct?epid=20068901812
39,116277000000,,5063247285,style_code,['GMF00230-F003285-90235'],0.93,0.24,0.98,[TITLE_TXT] Golden Goose Sky Star High Tops Men’s Sneakers Sz 11 / 44 [brand] Golden Goose [style_code] GMF00230-F003285-90235 [color] Multicolor [department] Men [model] star [nickname] Golden [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] Italy [shoe_shaft_style] High Top [theme] Stars [upper_material] Leather [insole_material] Leather [outsole_material] Leather,0.691,https://matchingdashboard.vip.ebay.com/?itemId=116277000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5063247285
40,116277000000,,5063247285,manufacturer_color,['Black/Red Metallic'],0.83,0.24,0.63,[TITLE_TXT] Golden Goose Sky Star High Tops Men’s Sneakers Sz 11 / 44 [brand] Golden Goose [color] Multicolor [manufacturer_color] Black/Red Metallic [department] Men [model] star [nickname] Golden [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] Italy [shoe_shaft_style] High Top [theme] Stars [upper_material] Leather [insole_material] Leather [outsole_material] Leather,0.583,https://matchingdashboard.vip.ebay.com/?itemId=116277000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5063247285
41,116277000000,,5063247285,product_line,['Golden Goose Sky Star'],0.23,0.24,0.05,[TITLE_TXT] Golden Goose Sky Star High Tops Men’s Sneakers Sz 11 / 44 [brand] Golden Goose [color] Multicolor [department] Men [model] star [nickname] Golden [product_line] Golden Goose Sky Star [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] Italy [shoe_shaft_style] High Top [theme] Stars [upper_material] Leather [insole_material] Leather [outsole_material] Leather,-0.01,https://matchingdashboard.vip.ebay.com/?itemId=116277000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5063247285
42,125100749545,426162323186,19056606140,style_code,['1119395-WBGL'],0.96,0.31,0.97,"[TITLE_TXT] NEW! Hoka ONE One RINCON 3 Men's Running Shoes COLORS Sizes WHITE/BLUE 11.5 [brand] Hoka One One [style_code] 1119395-WBGL [color] Multicolor [department] Men [model] Hoka ONE One RINCON 3 [nickname] White Blue [performance/activity] Running & Jogging, CrossFit, Cross Training, Walking, Track & Field, Gym & Training [product_line] Hoke One One Rincon [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top [shoe_width] Standard [theme] Colorful [customized] Yes",0.649,https://matchingdashboard.vip.ebay.com/?itemId=125100749545&var=426162323186,https://matchingdashboard.vip.ebay.com/getProduct?epid=19056606140
43,125100749545,426162323186,19056606140,manufacturer_color,['White/Blue Glass'],0.71,0.31,0.57,"[TITLE_TXT] NEW! Hoka ONE One RINCON 3 Men's Running Shoes COLORS Sizes WHITE/BLUE 11.5 [brand] Hoka One One [color] Multicolor [manufacturer_color] White/Blue Glass [department] Men [model] Hoka ONE One RINCON 3 [nickname] White Blue [performance/activity] Running & Jogging, CrossFit, Cross Training, Walking, Track & Field, Gym & Training [product_line] Hoke One One Rincon [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top [shoe_width] Standard [theme] Colorful [customized] Yes",0.396,https://matchingdashboard.vip.ebay.com/?itemId=125100749545&var=426162323186,https://matchingdashboard.vip.ebay.com/getProduct?epid=19056606140
44,125100749545,426162323186,19056606140,upper_material,['Mesh'],0.33,0.31,0.24,"[TITLE_TXT] NEW! Hoka ONE One RINCON 3 Men's Running Shoes COLORS Sizes WHITE/BLUE 11.5 [brand] Hoka One One [color] Multicolor [department] Men [model] Hoka ONE One RINCON 3 [nickname] White Blue [performance/activity] Running & Jogging, CrossFit, Cross Training, Walking, Track & Field, Gym & Training [product_line] Hoke One One Rincon [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top [shoe_width] Standard [theme] Colorful [upper_material] Mesh [customized] Yes",0.022,https://matchingdashboard.vip.ebay.com/?itemId=125100749545&var=426162323186,https://matchingdashboard.vip.ebay.com/getProduct?epid=19056606140
45,125184438257,426230858237,10053397362,style_code,['CM997HWE'],0.97,0.14,0.97,[TITLE_TXT] New Balance 997H Brown 9.5 [brand] New Balance [style_code] CM997HWE [color] Brown [department] Men [model] New Balance 997 [product_line] NB 997 [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.823,https://matchingdashboard.vip.ebay.com/?itemId=125184438257&var=426230858237,https://matchingdashboard.vip.ebay.com/getProduct?epid=10053397362
46,125184438257,426230858237,10053397362,manufacturer_color,['Brown'],0.15,0.14,0.04,[TITLE_TXT] New Balance 997H Brown 9.5 [brand] New Balance [color] Brown [manufacturer_color] Brown [department] Men [model] New Balance 997 [product_line] NB 997 [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.011,https://matchingdashboard.vip.ebay.com/?itemId=125184438257&var=426230858237,https://matchingdashboard.vip.ebay.com/getProduct?epid=10053397362
47,125184438257,426230858237,10053397362,nickname,['Brown'],0.18,0.14,0.07,[TITLE_TXT] New Balance 997H Brown 9.5 [brand] New Balance [color] Brown [department] Men [model] New Balance 997 [nickname] Brown [product_line] NB 997 [style] Sneaker [type] Athletic [leaf_categ_id] 15709,0.04,https://matchingdashboard.vip.ebay.com/?itemId=125184438257&var=426230858237,https://matchingdashboard.vip.ebay.com/getProduct?epid=10053397362
